,date,sales,sales_from_finance,total_ad_spend,corp_Google_DISCOVERY_spend,corp_Google_DISPLAY_spend,corp_Google_PERFORMANCE_MAX_spend,corp_Google_SEARCH_spend,corp_Google_SHOPPING_spend,corp_Google_VIDEO_spend,corp_Horizon_VIDEO_TIER_1_spend,corp_Horizon_VIDEO_TIER_2_spend,corp_Horizon_VIDEO_TIER_3_spend,corp_Horizon_VIDEO_TIER_BC_spend,corp_Horizon_VIDEO_TIER_HISP_spend,corp_Horizon_VIDEO_TIER_NA_spend,corp_Horizon_VIDEO_TIER_OTT_spend,corp_Horizon_VIDEO_TIER_SYND_spend,corp_Impact_AFFILIATE_spend,corp_Meta_SOCIAL_spend,corp_Microsoft_AUDIENCE_spend,corp_Microsoft_SEARCH_CONTENT_spend,corp_Microsoft_SHOPPING_spend,local_Google_DISPLAY_spend,local_Google_LOCAL_spend,local_Google_PERFORMANCE_MAX_spend,local_Google_SEARCH_spend,local_Google_SHOPPING_spend,local_Meta_SOCIAL_spend,local_Simpli_fi_GEO_OPTIMIZED_DISPLAY_spend,local_Simpli_fi_GEO_OPTIMIZED_VIDEO_spend,local_Simpli_fi_SEARCH_DISPLAY_spend,local_Simpli_fi_SEARCH_VIDEO_spend,local_Simpli_fi_SITE_RETARGETING_DISPLAY_spend,local_Simpli_fi_SITE_RETARGETING_VIDEO_spend,stock_market_index,dollar_to_pound,interest_rates,total_ad_spend_Google,total_ad_spend_Simpli,total_ad_spend_Microsoft,total_ad_spend_Meta,total_ad_spend_Impact,total_ad_spend_Horizon
10,2024-10-04,8330,7886.0,409090.987973216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.96,170382.02,0.0,27722.22,0.0,0.0,0.0,0.0,0.0,0.0,5076.71,0.0,0.0,0.0,0.0,0.0,0.0,42352.75,0.761600017547607,3.98,0.0,0.0,27722.22,175458.72999999998,1774.96,0.0
11,2024-10-03,8910,8455.0,408704.993421899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2177.52,184359.61,0.0,26316.88,0.0,0.0,0.0,0.0,0.0,0.0,4923.69,0.0,0.0,0.0,0.0,0.0,0.0,42011.58984375,0.753799974918366,3.85,0.0,0.0,26316.88,189283.3,2177.52,0.0
12,2024-10-02,7349,6934.0,466669.856138913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926.81,214391.3,0.0,26749.75,0.0,0.0,0.0,0.0,0.0,0.0,31270.64,0.0,0.0,0.0,0.0,0.0,0.0,42196.51953125,0.753350019454956,3.79,0.0,0.0,26749.75,245661.94,1926.81,0.0
13,2024-10-01,9032,8561.0,448788.389727851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.32,225628.86,0.0,27549.7,0.0,0.0,0.0,0.0,0.0,0.0,35141.0,0.0,0.0,0.0,0.0,0.0,0.0,42156.96875,0.747600018978119,3.74,0.0,0.0,27549.7,260769.86,1991.32,0.0
14,2024-09-30,7519,7109.0,412341.655316572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2231.63,206513.1,0.0,35572.08,0.0,0.0,0.0,0.0,0.0,0.0,7835.22,0.0,0.0,0.0,0.0,0.0,0.0,42330.1484375,0.747200012207031,3.81,0.0,0.0,35572.08,214348.32,2231.63,0.0
15,2024-09-29,4667,4300.0,507507.58406634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.37,200488.62,0.0,20696.26,0.0,0.0,0.0,0.0,0.0,0.0,8767.06,0.0,0.0,0.0,0.0,0.0,0.0,42313.0,0.745500028133392,3.75,0.0,0.0,20696.26,209255.68,1390.37,0.0
16,2024-09-28,7015,6685.0,574464.093853262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.52,175888.55,0.0,20785.12,0.0,0.0,0.0,0.0,0.0,0.0,8678.28,0.0,0.0,0.0,0.0,0.0,0.0,42313.0,0.745500028133392,3.75,0.0,0.0,20785.12,184566.83,1642.52,0.0
17,2024-09-27,7423,7046.0,560635.397127414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.18,175683.97,0.0,24101.17,0.0,0.0,0.0,0.0,0.0,0.0,8412.97,0.0,0.0,0.0,0.0,0.0,0.0,42313.0,0.745500028133392,3.75,0.0,0.0,24101.17,184096.94,1958.18,0.0
18,2024-09-26,6462,6063.0,479726.442075957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.38,196013.75,0.0,18180.57,0.0,0.0,0.0,0.0,0.0,0.0,8388.15,0.0,0.0,0.0,0.0,0.0,0.0,42175.109375,0.750988006591797,3.79,0.0,0.0,18180.57,204401.9,1590.38,0.0
19,2024-09-25,6438,6054.0,464621.461885959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.82,183147.29,0.0,18257.0,0.0,0.0,0.0,0.0,0.0,0.0,8368.43,0.0,0.0,0.0,0.0,0.0,0.0,41914.75,0.744750022888184,3.79,0.0,0.0,18257.0,191515.72,1687.82,0.0
20,2024-09-24,5717,5330.0,844803.041402579,12911.460935,0.0,42424.033969,160983.487182,8853.05,109794.301283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.67,176392.38,0.0,18978.73,0.0,0.0,0.0,24308.5720570001,5855.811358,0.0,8446.58,0.0,0.0,0.0,0.0,0.0,0.0,42208.21875,0.74906998872757,3.74,365130.7167840001,0.0,18978.73,184838.96,1495.67,0.0
21,2024-09-23,7111,6700.0,902669.44334977,12860.032456,0.0,45394.751742,143513.893982,9054.83,167015.691909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602.98,180857.35,0.0,16377.84,0.0,0.0,0.0,24964.2374810001,6100.505565,0.0,8668.92,0.0,0.0,0.0,0.0,0.0,0.0,42124.6484375,0.751089990139008,3.75,408903.94313500007,0.0,16377.84,189526.27000000002,1602.98,0.0
22,2024-09-22,4471,4176.0,821277.446228222,13001.148986,0.0,29667.77828,142691.655472,10790.42,125913.853385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.88,182668.84,0.0,11641.81,0.0,0.0,0.0,23832.548599,6374.816133,0.0,8910.16,0.0,0.0,0.0,0.0,0.0,0.0,42063.359375,0.752910017967224,3.73,352272.220855,0.0,11641.81,191579.0,1727.88,0.0
23,2024-09-21,6936,6575.0,816753.560080522,13008.490672,0.0,28098.927413,151777.040322,10510.2,125896.158486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725.2,170495.96,0.0,12335.05,0.0,0.0,0.0,24942.286003,7487.777777,0.0,9159.61,0.0,0.0,0.0,0.0,0.0,0.0,42063.359375,0.752910017967224,3.73,361720.880673,0.0,12335.05,179655.57,1725.2,0.0
24,2024-09-20,7152,6713.0,866305.688171735,13208.987718,0.0,36769.039326,181515.808225,11179.18,129746.163199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.62,163258.79,0.0,16971.13,0.0,0.0,0.0,25336.2106150001,7462.218672,0.0,9336.63,0.0,0.0,0.0,0.0,0.0,0.0,42063.359375,0.752910017967224,3.73,405217.60775500006,0.0,16971.13,172595.42,1682.62,0.0
25,2024-09-19,6073,5726.0,717750.550338718,12824.48875,0.0,32234.793434,162361.939279,10826.44,38951.617776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.14,144311.06,0.0,16460.18,0.0,0.0,0.0,25155.60084,6800.862471,0.0,9179.63,0.0,0.0,0.0,0.0,0.0,0.0,42025.19140625,0.757510006427765,3.73,289155.74255,0.0,16460.18,153490.69,1699.14,0.0
26,2024-09-18,5997,5623.0,734380.312833081,13159.028479,0.0,42251.496097,160096.146008,10769.56,39855.002848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.9,152820.83,0.0,12673.02,0.0,0.0,0.0,23810.665114,6318.911853,0.0,8813.41,0.0,0.0,0.0,0.0,0.0,0.0,41503.1015625,0.759450018405914,3.7,296260.81039899995,0.0,12673.02,161634.24,1541.9,0.0
27,2024-09-17,5790,5395.0,718253.295908126,13333.598958,0.0,24668.966175,160497.492524,8829.76,40205.017286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.08,151187.31,0.0,12263.71,0.0,0.0,0.0,24201.719572,6861.255233,0.0,8359.89,0.0,0.0,0.0,0.0,0.0,0.0,41606.1796875,0.756959974765778,3.65,278597.80974799994,0.0,12263.71,159547.2,1415.08,0.0
28,2024-09-16,6177,5812.0,781603.604021908,10187.709252,0.0,34200.182838,154227.562712,10162.32,94603.438197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.78,141312.95,0.0,13484.31,0.0,0.0,0.0,26282.452223,7069.125505,0.0,8548.42,0.0,0.0,0.0,0.0,0.0,0.0,41622.078125,0.761151015758514,3.63,336732.79072700004,0.0,13484.31,149861.37000000002,1487.78,0.0
29,2024-09-15,4688,4356.0,722531.130709434,10403.087684,0.0,39704.70702,151647.917187,9425.83,43539.831352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.12,143827.84,0.0,7599.3,0.0,0.0,0.0,27370.817572,6593.391945,0.0,8697.75,0.0,0.0,0.0,0.0,0.0,0.0,41393.78125,0.76147997379303,3.66,288685.58275999996,0.0,7599.3,152525.59,1298.12,0.0
30,2024-09-14,7197,6826.0,697625.910575219,11295.217328,0.0,33460.280562,152727.098419,10035.21,43580.185858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.13,124943.87,0.0,10976.95,0.0,0.0,0.0,25445.9297289999,7152.485785,0.0,8572.96,0.0,0.0,0.0,0.0,0.0,0.0,41393.78125,0.76147997379303,3.66,283696.4076809999,0.0,10976.95,133516.83,1730.13,0.0
31,2024-09-13,7648,7248.0,751444.348674958,10251.151314,0.0,27724.385903,163026.009763,10242.34,46809.901286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3047.26,155409.28,0.0,11506.35,0.0,0.0,0.0,24663.316817,6608.433102,0.0,8591.01,0.0,0.0,0.0,0.0,0.0,0.0,41393.78125,0.76147997379303,3.66,289325.538185,0.0,11506.35,164000.29,3047.26,0.0
32,2024-09-12,6664,6258.0,702729.687949289,21109.824739,0.0,19724.34996,131650.015985,8668.75,48691.721354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.31,141870.6,0.0,9199.04,0.0,0.0,0.0,26227.7819880001,5926.413982,0.0,8592.21,0.0,0.0,0.0,0.0,0.0,0.0,41096.76953125,0.76690000295639,3.68,261998.8580080001,0.0,9199.04,150462.81,1140.31,0.0
